uniqueID,lake,stateCountry,surfaceArea_km2,meanDepth_vol_SA_m,inflowRate_Q_m3_s,hrt_years,Tpout_mg_m3,loadingConstant_kgP_yr,volume_10^6m3,loadingM2_mgTP_m2yr,TPout/TPin,Rp,TPin_mg_m3,K_1_year,depth_10_z,flushingRate_1_years,qs_m_years_flush,qs_m_years_SA
234,Lily,Minn,0.6,0.9,0.296875,0.05,607,3782,0.5,6635,1.503,-0.503,404,-6.10,11.11,18.3,16.4,16.43
235,Mashkenode,Minn,0.4,2.1,0.249131945,0.11,75,2200,0.9,5366,0.268,0.732,280,24.94,4.76,9.1,19.2,19.16
236,McQuade,Minn,0.7,2.7,0.361842105,0.16,40,794,1.8,1203,0.575,0.425,70,4.74,3.70,6.4,17.3,17.29
237,Minnewaska,Minn,28.8,6,0.431003488,12.70,35,4236,172.6,147,0.112,0.888,312,0.62,1.67,0.1,0.5,0.47
238,Pelican,Minn,44.3,2.4,1,3.30,32,2517,106.3,57,0.401,0.599,80,0.45,4.17,0.3,0.7,0.71
239,St. Louis,Minn,9.8,3.4,67.9,0.02,216,318472,33.3,32530,1.452,-0.452,149,-18.95,2.94,60.8,206.8,218.72
240,Six Mile,Minn,0.3,1.9,0.207690329,0.10,235,1728,0.6,5082,0.891,0.109,264,1.24,5.26,10.1,19.3,19.26
241,Superior Bay,Minn,14.7,3.8,82.6,0.02,79,353052,55.8,24033,0.583,0.417,136,32.65,2.63,45.6,173.4,177.32
242,Swan,Minn,10.6,12.1,1.7,2.40,13,4975,128.0,470,0.140,0.860,93,2.56,0.83,0.4,5.0,5.07
243,Trout,Minn,7.7,15.2,0.211908886,17.40,50,2503,116.3,327,0.133,0.867,375,0.37,0.66,0.1,0.9,0.87
244,Winnipesaukkee,Minn,180.4,13.1,18.2,4.00,6,22317,2363.8,124,0.154,0.846,39,1.37,0.76,0.3,3.3,3.18
245,Glen,NH,0.6,3.4,8.3,0.01,28,8023,2.1,13152,0.913,0.087,31,11.52,2.94,121.7,413.7,429.10
246,Canadiagua,NY,43.0,39,3.6,15.00,9,6041,1676.6,141,0.169,0.831,53,0.33,0.26,0.1,2.6,2.64
247,Cannonsville,NY,19.4,19.2,20.6,0.58,46,82780,373.1,4260,0.361,0.639,127,3.08,0.52,1.7,33.4,33.43
248,Carry Falls,NY,26.1,5.4,42.9,0.10,10,18639,141.2,713,0.726,0.274,14,3.63,1.85,9.6,51.9,51.76
249,Chautauqua,NY,57.2,6.9,9.2,1.40,28,15574,394.7,272,0.522,0.478,54,0.66,1.45,0.7,4.9,5.07
250,Cross,NY,8.8,5.5,85.4,0.02,76,295220,48.5,33510,0.693,0.307,110,23.06,1.82,52.1,286.8,305.70
251,Keuka,NY,47.4,22.6,4.3,7.80,8,4939,1071.2,104,0.220,0.780,36,0.46,0.44,0.1,2.9,2.86
252,Sacandaga,NY,122.0,7.6,64.7,0.45,9,21873,927.2,179,0.840,0.160,11,0.42,1.32,2.2,16.7,16.72
253,Saratoga,NY,16.3,7.9,10,0.41,25,26086,128.9,1598,0.302,0.698,83,5.62,1.27,2.4,19.2,19.32
254,Schroon,NY,16.7,14.3,18.1,0.42,4,6540,239.0,391,0.349,0.651,11,4.45,0.70,2.4,34.1,34.16
255,Seneca,NY,175.4,88.7,14.6,33.70,10,67002,15553.5,382,0.069,0.931,146,0.40,0.11,0.0,2.6,2.63
