UID,SITE_ID,VISIT_NO,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,LAB,d18O_H2O,dD_H2O,E_I,RT,PUBLICATION_DATE
2008683,NLA06608-4828,1,9/4/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-4.46,-28.92,0.083,0.06,8/13/2018
2008684,NLA06608-4929,1,7/17/2007,EHIGH,SAP,OK,EHIGH,ISIRF,-3.4,-18.85,0.043,0.12,8/13/2018
2008685,NLA06608-4949,1,8/29/2007,PLNLOW,TPL,OK,PLAINS,ISIRF,-4.3,-24.53,0.003,0.01,8/13/2018
2008686,NLA06608-9999,1,7/31/2007,EHIGH,NAP,VT,EHIGH,ISIRF,-8.16,-62.32,0.137,2.97,8/13/2018
2008687,NLA06608-ACAD_LAKES_0435,1,8/1/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-7.38,-49.54,0.012,0.05,8/13/2018
2008795,NLA06608-ALPS-1218,1,8/3/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-4.79,-41.68,0.334,1.11,8/13/2018
2008796,NLA06608-ALSC:020149,1,9/11/2007,EHIGH,NAP,NY,EHIGH,ISIRF,-8.7,-66.38,0.114,1.06,8/13/2018
2008797,NLA06608-ELS:1C2-032,1,7/12/2007,EHIGH,NAP,NH,EHIGH,ISIRF,-6.9,-52.37,0.105,0.31,8/13/2018
2008798,NLA06608-ELS:1C3-003,1,8/15/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-9.33,-69.22,0.039,0.2,8/13/2018
2008799,NLA06608-ELS:1D1-035,1,7/25/2007,PLNLOW,CPL,MA,CPL,ISIRF,-5.55,-38.37,0.094,0.18,8/13/2018
2008800,NLA06608-ELS:1D2-087,1,7/27/2007,EHIGH,NAP,MA,EHIGH,ISIRF,-3.96,-35.06,0.257,0.25,8/13/2018
2008801,NLA06608-ELS:1E1-052,1,8/7/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-6.17,-48.79,0.244,2.56,8/13/2018
2008802,NLA06608-ELS:1E1-096,1,8/9/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-7.91,-55.94,0.071,0.25,8/13/2018
2008803,NLA06608-ELS:1E1-128,1,8/10/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-6.75,-48.5,0.13,0.5,8/13/2018
2008804,NLA06608-ELS:1E2-027,1,8/14/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-6.61,-57.13,0.263,5.82,8/13/2018
2008805,NLA06608-ELS:1E3-002,1,8/7/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-4.79,-49.83,0.374,0.51,8/13/2018
2008806,NLA06608-ELS:1E3-012,1,8/28/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-10.06,-75.96,0.028,0.43,8/13/2018
2008807,NLA06608-ELS:1E3-071,1,8/8/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-5.08,-52.35,0.26,0.19,8/13/2018
2008808,NLA06608-ELS:2B2-008,1,8/21/2007,PLNLOW,UMW,MI,UMW,ISIRF,-8.95,-77.06,0.101,0.93,8/13/2018
2008809,NLA06608-ELS:2C2-048,1,8/24/2007,PLNLOW,UMW,WI,UMW,ISIRF,-0.55,-31.68,1.036,3.12,8/13/2018
2008810,NLA06608-ELS:2C3-018,1,8/25/2007,PLNLOW,UMW,WI,UMW,ISIRF,-2.35,-36.04,0.673,2.26,8/13/2018
2008811,NLA06608-ELS:2D3-008,1,8/10/2007,PLNLOW,UMW,MN,UMW,ISIRF,-6.63,-53.05,0.27,2.4,8/13/2018
2008812,NLA06608-EMAP:ME011L,1,9/14/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-9.55,-69.62,0.065,0.75,8/13/2018
2008813,NLA06608-EMAP:ME012L,1,8/28/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-10.48,-78.02,0.007,1.37,8/13/2018
2008814,NLA06608-EMAP:ME254L,1,9/5/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-9.25,-72.43,0.044,0.69,8/13/2018
2008815,NLA06608-EMAP:ME263L,1,8/9/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-7.53,-54.91,0.15,0.59,8/13/2018
2008816,NLA06608-EMAP:ME518L,1,8/10/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-8.49,-59.66,0.045,1.05,8/13/2018
2008817,NLA06608-FL:107895579,1,8/1/2007,PLNLOW,CPL,FL,CPL,ISIRF,1.21,3.13,0.244,0.1,8/13/2018
2008818,NLA06608-FL:16674741,1,8/3/2007,PLNLOW,CPL,FL,CPL,ISIRF,-1.33,-10,0.097,0.91,8/13/2018
2008819,NLA06608-FL:18261987,1,8/5/2007,PLNLOW,CPL,FL,CPL,ISIRF,3.9,17.36,0.777,0.64,8/13/2018
2008820,NLA06608-FL:99324403,1,8/4/2007,PLNLOW,CPL,FL,CPL,ISIRF,2.54,5.55,0.457,0.87,8/13/2018
2008821,NLA06608-FL:99344895,1,8/6/2007,PLNLOW,CPL,FL,CPL,ISIRF,2.33,5.45,0.438,0.27,8/13/2018
2008822,NLA06608-IN:646,1,7/31/2007,PLNLOW,UMW,IN,UMW,ISIRF,-5.92,-44.73,0.199,2.86,8/13/2018
2008823,NLA06608-MI:7007,1,8/1/2007,PLNLOW,UMW,MI,UMW,ISIRF,-3.86,-36.59,0.221,0.79,8/13/2018
2008824,NLA06608-MN:03-0029,1,8/8/2007,PLNLOW,UMW,MN,UMW,ISIRF,-1.76,-32.38,0.808,3.33,8/13/2018
2008825,NLA06608-MN:06-0002,1,9/6/2007,PLNLOW,TPL,MN,PLAINS,ISIRF,-1.62,-24.54,0.752,1.07,8/13/2018
2008826,NLA06608-MN:11-0102,1,8/11/2007,PLNLOW,UMW,MN,UMW,ISIRF,-4.06,-41.1,0.508,3.98,8/13/2018
2008827,NLA06608-MN:15-0010,1,8/9/2007,PLNLOW,UMW,MN,UMW,ISIRF,-5.73,-52.92,0.32,6.28,8/13/2018
2008828,NLA06608-MN:22-0074,1,9/11/2007,PLNLOW,TPL,MN,PLAINS,ISIRF,-1.16,-20.47,0.586,2.03,8/13/2018
2008829,NLA06608-MN:49-0140,1,9/24/2007,PLNLOW,UMW,MN,UMW,ISIRF,-4.7,-43.7,0.313,5.13,8/13/2018
2008830,NLA06608-MN:51-0063,1,9/5/2007,PLNLOW,TPL,MN,PLAINS,ISIRF,-2.46,-26.19,0.479,0.79,8/13/2018
2008831,NLA06608-MN:56-0306,1,9/17/2007,PLNLOW,UMW,MN,UMW,ISIRF,-3.26,-36.94,0.561,5.01,8/13/2018
2008832,NLA06608-MN:61-0037,1,9/25/2007,PLNLOW,UMW,MN,UMW,ISIRF,-3.43,-36.62,0.419,4,8/13/2018
2008833,NLA06608-MN:74-0023,1,9/12/2007,PLNLOW,TPL,MN,PLAINS,ISIRF,-2.08,-23.06,0.597,2.96,8/13/2018
2008834,NLA06608-MN:75-0200,1,9/7/2007,PLNLOW,TPL,MN,PLAINS,ISIRF,-2.42,-28.41,0.646,0.93,8/13/2018
2008835,NLA06608-MN:77-0019,1,9/16/2007,PLNLOW,UMW,MN,UMW,ISIRF,-4.38,-41.21,0.347,2.38,8/13/2018
2008836,NLA06608-MN:87-0030,1,9/8/2007,PLNLOW,TPL,MN,PLAINS,ISIRF,-1.22,-21.32,0.597,0.84,8/13/2018
2008837,NLA06608-NELP-0253,1,8/8/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-6.77,-51.14,0.214,3.75,8/13/2018
2008838,NLA06608-NELP-0955,1,8/29/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-10.28,-76.27,0.019,0.53,8/13/2018
2008839,NLA06608-NELP-1041,1,8/1/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-6.4,-48.03,0.198,0.05,8/13/2018
2008840,NLA06608-NELP-1330,1,8/28/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-9.6,-73.31,0.051,0.66,8/13/2018
2008841,NLA06608-NELP-2155,1,8/29/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-9.8,-74.28,0.039,0.46,8/13/2018
2008842,NLA06608-NELP-3355,1,8/29/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-9.34,-73.39,0.058,0.19,8/13/2018
2008843,NLA06608-NELP-3586,1,8/30/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-9.59,-68.46,0.056,1.72,8/13/2018
2008844,NLA06608-3846,1,7/12/2007,EHIGH,NAP,RI,EHIGH,ISIRF,-4.7,-30.76,0.089,0.68,8/13/2018
2008845,NLA06608-NH250L,1,7/26/2007,EHIGH,NAP,NH,EHIGH,ISIRF,-7.06,-57.94,0.065,0.34,8/13/2018
2008846,NLA06608-NH4912,1,8/9/2007,EHIGH,NAP,NH,EHIGH,ISIRF,-7.88,-54.34,0.038,0.43,8/13/2018
2008847,NLA06608-NV:2,1,9/21/2007,WMTNS,XER,NV,WMTNS,ISIRF,-12.84,-103.02,0.189,0.71,8/13/2018
2008848,NLA06608-NV:3,1,9/20/2007,WMTNS,XER,NV,WMTNS,ISIRF,-13.19,-104.58,0.145,0.83,8/13/2018
2008849,NLA06608-NV:4,1,9/17/2007,WMTNS,XER,NV,WMTNS,ISIRF,-1.33,-44.85,0.429,0.21,8/13/2018
2008850,NLA06608-OH:19,1,9/6/2007,PLNLOW,TPL,OH,PLAINS,ISIRF,-0.55,-12.25,0.479,0.19,8/13/2018
2008851,NLA06608-OH:22,1,9/5/2007,PLNLOW,TPL,OH,PLAINS,ISIRF,-1.41,-21.71,0.304,1.33,8/13/2018
2008853,NLA06608-R10BULLTR,1,8/16/2007,WMTNS,WMT,ID,WMTNS,ISIRF,-16.53,-124.7,0.007,0.14,8/13/2018
2008854,NLA06608-R10CAPEHO,1,8/14/2007,WMTNS,WMT,ID,WMTNS,ISIRF,-14.44,-122.89,0.106,0.31,8/13/2018
2008855,NLA06608-R10CHARLT,1,8/8/2007,WMTNS,WMT,OR,WMTNS,ISIRF,-8.95,-75.09,0.283,6.65,8/13/2018
2008856,NLA06608-R10COUNCI,1,8/22/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-11.17,-81.7,0.121,1.11,8/13/2018
2008857,NLA06608-R10DEERLA,1,8/9/2007,WMTNS,WMT,OR,WMTNS,ISIRF,-9.55,-80.64,0.185,1.01,8/13/2018
2008858,NLA06608-R10FISHLA,1,8/12/2007,WMTNS,XER,OR,WMTNS,ISIRF,-12.22,-98.92,0.224,1.04,8/13/2018
2008859,NLA06608-R10FOURMI,1,8/7/2007,WMTNS,WMT,OR,WMTNS,ISIRF,-10.21,-80.21,0.184,5.87,8/13/2018
2008860,NLA06608-R10RAINYL,1,8/19/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-15.63,-117.4,0.1,2.5,8/13/2018
2008861,NLA06608-R10SQUAWL,1,8/24/2007,WMTNS,WMT,OR,WMTNS,ISIRF,-11.66,-87.13,0.077,1.33,8/13/2018
2008862,NLA06608-R10ULAKE,1,8/21/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-5.61,-50.93,0.187,0.28,8/13/2018
2008863,NLA06608-R10YELLOW,1,8/15/2007,WMTNS,WMT,ID,WMTNS,ISIRF,-16.26,-127.36,0.105,1.81,8/13/2018
2008864,NLA06608-R31,1,7/30/2007,EHIGH,SAP,MD,EHIGH,ISIRF,-5.84,-37.49,0.016,0.11,8/13/2018
2008865,NLA06608-R314,1,8/15/2007,EHIGH,SAP,VA,EHIGH,ISIRF,-4.4,-30.83,0.085,0.14,8/13/2018
2008866,NLA06608-R315,1,8/28/2007,EHIGH,SAP,VA,EHIGH,ISIRF,-6.77,-43.73,0.057,0.26,8/13/2018
2008867,NLA06608-R318,1,8/16/2007,EHIGH,SAP,VA,EHIGH,ISIRF,-3.82,-27.48,0.213,0.9,8/13/2018
2008868,NLA06608-R319,1,9/18/2007,PLNLOW,CPL,VA,CPL,ISIRF,-2.72,-13.13,0.029,0.02,8/13/2018
2008869,NLA06608-R32,1,8/1/2007,EHIGH,SAP,MD,EHIGH,ISIRF,-8.36,-57.16,0.008,0.08,8/13/2018
2008870,NLA06608-R322,1,9/4/2007,EHIGH,SAP,VA,EHIGH,ISIRF,-4.71,-28.49,0.017,0.15,8/13/2018
2008871,NLA06608-R323,1,9/19/2007,PLNLOW,CPL,VA,CPL,ISIRF,-2.2,-18.27,0.202,0.25,8/13/2018
2008872,NLA06608-R324,1,9/20/2007,PLNLOW,CPL,VA,CPL,ISIRF,-0.88,-10.86,0.371,1.42,8/13/2018
2008873,NLA06608-R326,1,9/18/2007,PLNLOW,CPL,VA,CPL,ISIRF,-2.23,-17.16,0.235,0.31,8/13/2018
2008874,NLA06608-R328,1,9/6/2007,EHIGH,SAP,VA,EHIGH,ISIRF,-5.22,-32.59,0.018,0.09,8/13/2018
2008875,NLA06608-R333,1,9/17/2007,PLNLOW,CPL,VA,CPL,ISIRF,-3.16,-21.81,0.159,0.29,8/13/2018
2008876,NLA06608-R334,1,8/8/2007,EHIGH,SAP,WV,EHIGH,ISIRF,-5.48,-40.29,0.12,0.18,8/13/2018
2008877,NLA06608-R336,1,8/21/2007,EHIGH,SAP,WV,EHIGH,ISIRF,-5.06,-36.01,0.184,0.44,8/13/2018
2008878,NLA06608-R34,1,8/28/2007,EHIGH,SAP,PA,EHIGH,ISIRF,-7.72,-51.58,0.09,0.31,8/13/2018
2008879,NLA06608-R5:KATHRYN,1,8/22/2007,PLNLOW,UMW,MI,UMW,ISIRF,-4.19,-47.05,0.398,2.22,8/13/2018
2008880,NLA06608-R5:OTTAWA,1,8/23/2007,PLNLOW,UMW,MI,UMW,ISIRF,-7.93,-61.76,0.202,0.37,8/13/2018
2008881,NLA06608-R7101,1,9/18/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-0.45,-19.32,0.969,0.82,8/13/2018
2008882,NLA06608-R7103,1,9/18/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-0.53,-19.19,0.942,0.61,8/13/2018
2008883,NLA06608-R7104,1,9/18/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,0.14,-17.23,1.12,0.63,8/13/2018
2008884,NLA06608-R7106,1,9/20/2007,PLNLOW,TPL,NE,PLAINS,ISIRF,-2.25,-19.53,0.462,0.87,8/13/2018
2008885,NLA06608-R715,1,8/30/2007,PLNLOW,TPL,IA,PLAINS,ISIRF,-4.58,-34.24,0.266,0.62,8/13/2018
2008886,NLA06608-R716,1,8/31/2007,PLNLOW,TPL,IA,PLAINS,ISIRF,-3.42,-31.04,0.346,1.46,8/13/2018
